Fips_code,PM2.5 24hr 2012 99th Percentile,SO2 1-hour 2010,Ozone 1-hour 1979,NO2 1-hour,Coal_plants,Power_plants,Airports,Public_Schools,Private_Schools,Hospitals,Fuel_Stations,Land_area(mi^2),Population,Number_of_resident_workers,Number_of_business_establishments,Route_miles_of_freight_railroad,Route_miles_of_passenger_railroad_and_rail_transit,Total_Docks,Number_of_Bridges
24021,1,0,0.053,0,0,0,10,67,19,1,19,867.52,31929,14820,678,20.7,0,0,46
24023,1,3.2,0.054,10,0,0,5,12,3,1,1,365.13,259547,127025,6214,78.1,34.4,0,477
24025,1,0,0.057,0,0,0,10,54,16,2,14,455.82,29014,13790,889,49.9,0,0,134
24027,1,0,0,33.4,0,0,2,76,23,3,39,2076.84,255441,127350,5517,43.6,18.8,0,270
24029,1,0,0.054,0,0,0,8,7,4,1,2,3397.36,325690,164255,9520,31.2,8.7,0,272
24031,1,0,0.051,0,0,0,17,207,128,10,83,3960.86,19422,8920,610,24.2,0,0,43
24033,1,0,0.055,0,1,0,10,208,70,6,70,253.7,1050688,537815,27460,31.6,30,0,480
24043,2,0,0.051,0,0,0,7,44,14,3,10,9707.24,37181,17385,1467,0,0,0,40
24510,1,0,0,54.3,0,0,8,176,60,17,131,598.3,52276,23365,2180,28.1,0,0,82
25001,1,0,0,0,0,0,19,51,16,4,31,213.15,593490,270105,12434,76.8,12.9,34,376
25003,2,0,0,0,0,0,10,48,17,4,12,319.42,212990,101170,8681,36.9,20.9,0,105
25005,2,3.3,0,0,0,0,17,143,43,10,22,447.6,124944,62120,3872,84.9,30.5,0,444
25009,1,0,0,45.7,0,0,25,224,60,16,49,457.75,17332,8225,1111,0,0,0,5
25011,2,0,0,0,0,0,2,39,6,1,6,540.77,789034,382710,19100,67.7,66.9,3,392
25013,2,2.9,0,45,0,0,21,163,35,10,31,660.22,70180,36410,1574,100.4,25.8,0,297
25015,1,0.9,0,42,0,0,5,49,10,4,35,647.1,466372,210670,9584,111.8,70.1,0,428
25017,1,0,0,43,0,0,45,382,133,24,170,437.09,160830,81190,3585,42.5,15.1,0,258
25021,1,0,0,32,0,0,13,193,66,14,67,277.03,11399,6165,1062,0,0,0,2
25023,2,0,0,0,0,0,14,139,24,8,45,491.25,706775,353545,20310,101.5,81,2,343
25025,2,2.1,0.049,49,0,0,10,166,41,24,104,482.69,521202,252515,12744,74.5,48.1,1,284
25027,2,2.3,0,50,0,0,31,258,59,16,56,371.91,803907,403630,21478,41.4,39.3,24,492
26005,1,0,0,0,0,0,22,57,9,2,2,268.54,9108,3165,242,23.6,0,0,53
26017,1,0,0,0,1,0,4,36,10,3,6,393.72,61550,26795,910,2,0,0,61
26021,1,0,0,0,0,1,15,80,15,4,3,553.1,17766,7530,467,0,0,0,24
26027,1,0,0,0,0,0,6,22,1,1,5,699.32,134159,56725,2530,51.2,43.5,0,211
26049,1,0,0,0,0,0,15,158,18,4,15,915.07,33415,15615,1538,6.1,0,0,33
26063,1,0,0,0,0,0,4,26,8,3,2,442.3,35684,14400,879,22.8,0,0,51
26065,1,0,0,0,0,0,12,110,18,6,43,319.7,30981,13655,940,50.3,0,0,193
26067,1,0,0,0,0,0,10,31,4,1,6,567.75,292406,131515,6143,67.2,14.8,0,237
26077,1,0,0,0,0,0,11,102,14,2,14,715.26,158510,64995,2901,46.1,32.9,0,158
26081,1,0,0,0,0,0,15,251,39,8,54,564.32,18038,6635,335,22.2,0,0,14
26091,1,0,0,0,0,0,14,56,5,2,3,575.18,21761,9535,743,0,0,0,7
26099,1,0,0,0,0,0,18,259,32,6,48,1101.85,10799,4435,444,40,0,0,64
26105,1,0,0,0,0,0,3,17,2,1,2,598.13,66699,28940,1656,116,0,0,143
26113,1,0,0,0,0,0,2,6,1,0,1,571.3,83156,37305,1965,7.1,0,0,138
